Date,Open,High,Low,Close,Adj Close,Volume
2015-12-29,78.736557,78.996414,78.584229,78.897850,63.521404,2044066
2015-12-30,79.265236,79.292114,78.431900,78.431900,63.146271,1769976
2015-12-31,77.446236,77.813622,77.078850,77.096771,62.071339,1162760
2016-01-04,76.693550,76.872757,75.689964,76.836922,61.862129,2550841
2016-01-05,76.388885,77.293907,76.353050,77.249107,62.193989,2984407
2016-01-06,75.752686,76.397850,75.752686,76.191757,61.342701,3054380
2016-01-07,75.197136,75.672043,74.919357,75.215057,60.556351,2587781
2016-01-08,74.713264,74.820786,72.921150,73.082436,58.839363,2348734
2016-01-11,73.503586,73.539429,72.249107,73.154121,58.897076,3954546
2016-01-12,73.817207,74.050179,72.858421,73.691757,59.329929,1769753
2016-01-13,74.068100,74.229393,72.643372,72.661293,58.500290,2492586
2016-01-14,73.342293,74.417564,72.786736,74.103943,59.661781,3247337
2016-01-15,71.783157,72.688171,71.317207,71.890678,57.879868,2454977
2016-01-19,73.145164,73.234764,71.953407,72.571686,58.428150,2933071
2016-01-20,71.747314,72.643372,70.528671,72.123657,58.067444,2407435
2016-01-21,71.684586,71.863800,71.030464,71.559143,57.612938,2949365
2016-01-22,73.064514,73.862007,72.948029,73.691757,59.329929,2499170
2016-01-25,73.082436,73.781364,72.786736,73.136200,58.882645,2583205
2016-01-26,73.629028,74.157707,73.136200,74.050179,59.618504,2854282
2016-01-27,71.406807,71.532257,69.534050,70.062721,56.408157,5038740
2016-01-28,69.148743,69.238350,67.777779,68.584229,55.217812,3696080
2016-01-29,68.172043,69.874550,68.145164,69.865593,56.249447,4077641
2016-02-01,69.283157,69.525093,68.673836,69.238350,55.744450,2083684
2016-02-02,68.315414,68.396057,67.732971,67.948029,54.705601,3267313
2016-02-03,68.333336,68.557350,67.320786,68.557350,55.196175,2476069
2016-02-04,66.971329,67.777779,66.756271,67.258064,54.150101,2478190
2016-02-05,67.168457,67.275986,66.281364,66.603943,53.623466,2574277
2016-02-08,65.358421,65.833336,64.910393,65.573479,52.793827,3159954
2016-02-09,64.749107,65.600357,64.426521,65.071686,52.389824,3016213
2016-02-10,65.806450,66.415771,65.349464,65.403229,52.656757,3060965
2016-02-11,64.793907,65.035843,64.112900,64.695343,52.086826,2630747
2016-02-12,64.829750,65.197136,64.363800,65.143372,52.447544,2369491
2016-02-16,65.107529,65.967743,64.937279,65.672043,52.873180,4046281
2016-02-17,65.645164,66.084229,65.394264,65.994621,53.132889,3495535
2016-02-18,66.666664,66.711472,65.896057,66.048386,53.176182,3667064
2016-02-19,66.102150,66.317207,65.725807,66.048386,53.176182,2223630
2016-02-22,66.272400,66.720428,66.218636,66.514336,53.551315,2688779
2016-02-23,66.478493,66.702507,65.967743,65.994621,53.132889,2581085
